代码,名称,价格,涨跌幅(%),成交量,换手率(%),市值(亿)
sh600481,双良节能,4.88,4.27,93600676,5.00,91.44
sh603108,润达医疗,19.51,4.28,40793227,6.76,117.77
sh603220,中贝通信,24.51,3.59,37516252,8.64,106.43
sh603416,信捷电气,67.76,3.47,8640192,6.19,94.53
sh688472,阿特斯,9.98,4.72,69284067,5.01,137.91
