代码,名称,价格,涨跌幅(%),成交量,换手率(%),市值(亿)
sh600644,乐山电力,11.86,4.59,50307361,9.34,63.85
sh600794,保税科技,4.36,3.56,115518107,9.63,52.33
sh601606,长城军工,14.11,3.83,48634406,6.72,102.19
sh601908,京运通,3.29,4.44,214855758,8.90,79.44
