代码,名称,价格,涨跌幅(%),成交量,换手率(%),市值(亿)
sh600017,日照港,3.20,3.90,109854703,3.57,98.42
sh600101,明星电力,11.44,1.60,60459135,11.04,62.68
sh600121,郑州煤电,3.72,1.09,25569892,2.10,45.32
sh600135,乐凯胶片,7.51,3.44,25333502,4.58,41.55
