代码,名称,价格,涨跌幅(%),成交量,换手率(%),市值(亿)
sh600017,日照港,3.20,3.90,109854703,3.57,98.42
sh600135,乐凯胶片,7.51,3.44,25333502,4.58,41.55
sh600422,昆药集团,16.10,1.77,15856098,2.09,121.87
sh600428,中远海特,6.42,1.58,62416358,2.91,137.81
sh600537,亿晶光电,3.06,4.79,76986303,6.50,36.22
sh600761,安徽合力,17.19,1.54,30523041,3.43,153.11
sh600771,广誉远,21.12,6.13,31162769,6.37,103.38
sh600800,渤海化学,3.64,1.11,104292536,9.40,40.39
sh600810,神马股份,8.77,2.21,38323886,3.81,88.16
sh600868,梅雁吉祥,3.01,1.35,54349502,2.86,57.13
sh600979,广安爱众,5.81,4.12,101810316,8.26,71.59
sh601086,国芳集团,11.78,4.43,84758062,12.73,78.45
sh601975,招商南油,2.77,1.47,113814198,2.37,133.01
sh603050,科林电气,17.27,6.28,10155865,2.52,69.65
sh603105,芯能科技,8.53,2.03,15574118,3.11,42.65
sh603119,浙江荣泰,45.42,2.37,27695330,13.58,92.60
sh603128,华贸物流,6.58,2.17,157435773,12.03,86.14
sh603199,九华旅游,37.21,1.22,3110366,2.81,41.18
sh603209,兴通股份,14.76,1.65,6137012,2.19,41.33
sh603212,赛伍技术,9.89,1.12,15558800,3.56,43.27
sh603309,维力医疗,12.23,2.26,6362150,2.18,35.70
sh603416,信捷电气,67.76,3.47,8640192,6.19,94.53
sh603595,东尼电子,19.21,4.18,22601419,9.72,44.65
sh603676,卫信康,10.68,5.43,12837800,2.95,46.48
sh603697,有友食品,11.88,2.24,15552044,3.64,50.81
sh603967,中创物流,12.06,3.25,19604190,5.66,41.81
sh688090,瑞松科技,45.75,6.20,4719381,5.01,43.09
sh688099,晶晨股份,73.05,1.64,11621614,2.77,306.76
sh688114,华大智造,81.72,6.89,5557824,2.61,174.01
sh688135,利扬芯片,19.22,5.43,9691379,4.82,38.67
sh688222,成都先导,15.63,1.23,8619258,2.15,62.63
sh688315,诺禾致源,14.70,3.89,10876674,2.61,61.18
