代码,名称,价格,涨跌幅(%),成交量,换手率(%),市值(亿)
sz000815,美利云,13.97,3.10,47849100,6.88,97.13
sz000905,厦门港务,8.46,4.06,56806060,7.66,62.76
sz000989,九芝堂,8.74,4.55,41367048,5.96,60.67
sz002657,中科金财,20.70,3.14,23370764,6.95,69.63
