代码,名称,价格,涨跌幅(%),成交量,换手率(%),市值(亿)
sz000422,湖北宜化,12.58,3.62,101987971,9.64,133.07
sz002401,中远海科,15.65,3.30,20749320,5.59,58.12
sz002657,中科金财,20.71,3.19,33122564,9.85,69.66
