代码,名称,价格,涨跌幅(%),成交量,换手率(%),市值(亿)
sh600105,永鼎股份,7.40,2.64,53850280,3.69,108.19
sh600668,尖峰集团,14.65,4.05,9590011,2.79,50.41
sh600800,渤海化学,3.93,7.97,65237460,5.90,43.72
sh603086,先达股份,9.16,1.33,21956976,5.05,39.83
sh603300,海南华铁,11.92,1.79,101460887,5.11,237.24
sh605138,盛泰集团,7.21,2.71,15242900,2.74,40.06
