代码,名称,价格,涨跌幅(%),成交量,换手率(%),市值(亿)
sz000815,美利云,13.95,2.95,52932500,7.62,97.06
sz000905,厦门港务,8.43,3.69,66899670,9.02,62.46
sz000989,九芝堂,8.70,4.07,43299248,6.24,60.39
sz002657,中科金财,20.83,3.79,26488964,7.88,70.10
